sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
volatility_adjusted,commodities,CLF,2026-03-30,OPEN_EQUALS_LOW,LONG,2026-03-30T09:15:00-04:00,101.290001,101.75,101.199997,101.610001,2620.0,,2026-03-30T09:25:00-04:00,101.769997,2026-03-30T09:30:00-04:00,101.790351,101.269743,102.831566,2026-03-30T09:45:00-04:00,102.811,TARGET,0.457142,982,100000.0,1.0,531.13,0.0,6000.0,99958.12,0.0,300000.0,per_trade_allocation,fixed_percent_risk,1002.28,60.28,942.0,0.9424,1.7736,4,100942.0
volatility_adjusted,commodities,SIF,2026-03-30,OPEN_EQUALS_HIGH,SHORT,2026-03-30T09:15:00-04:00,71.364998,71.400002,71.209999,71.315002,94.0,,2026-03-30T09:30:00-04:00,70.955002,2026-03-30T09:35:00-04:00,71.010797,71.379271,70.273848,2026-03-30T09:55:00-04:00,70.287903,TARGET,0.271429,1408,100000.0,1.0,538.91,531.13,6000.0,99983.2,99958.12,300000.0,per_trade_allocation,fixed_percent_risk,1017.83,59.68,958.15,0.9583,1.7779,5,101900.15
volatility_adjusted,commodities,GCF,2026-03-31,OPEN_EQUALS_LOW,LONG,2026-03-31T09:15:00-04:00,4610.899902,4616.700195,4610.600098,4613.200195,354.0,1.8353,2026-03-31T09:40:00-04:00,4618.0,2026-03-31T09:45:00-04:00,4619.323582,4609.977722,4638.015302,2026-03-31T09:50:00-04:00,4637.087699,TARGET,9.050119,22,101900.15,1.0,225.89,0.0,6114.01,101625.12,0.0,305700.45,per_trade_allocation,fixed_percent_risk,390.81,61.09,329.72,0.3244,1.4596,2,102229.87
volatility_adjusted,commodities,CLF,2026-03-31,OPEN_EQUALS_HIGH,SHORT,2026-03-31T09:15:00-04:00,103.169998,103.269997,102.93,103.029999,1598.0,-0.7504,2026-03-31T09:45:00-04:00,102.870003,2026-03-31T09:50:00-04:00,102.859421,103.190632,102.196999,2026-03-31T10:10:00-04:00,102.217439,TARGET,0.445,993,102229.87,1.0,349.39,0.0,6133.79,102139.41,0.0,306689.61,per_trade_allocation,fixed_percent_risk,637.49,61.09,576.4,0.5643,1.6497,5,102806.27
volatility_adjusted,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.100802,744.151128,774.000151,2026-04-01T10:20:00+05:30,744.002298,STOP_LOSS,3.953574,101,102806.27,1.0,1019.95,0.0,6168.38,76164.18,0.0,308418.81,risk_budget,fixed_percent_risk,-1019.95,45.39,-1065.34,-1.3987,-1.0445,12,101740.93
volatility_adjusted,derivatives,CNXAUTO,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,24508.849609,24527.150391,24397.099609,24507.199219,0.0,2.9226,2026-04-01T10:25:00+05:30,24386.0,2026-04-01T10:30:00+05:30,24387.37155,24513.751379,24134.611891,2026-04-01T13:10:00+05:30,24518.65413,STOP_LOSS,73.27832,4,101740.93,1.0,525.13,0.0,6104.46,97549.49,0.0,305222.79,per_trade_allocation,fixed_percent_risk,-525.13,58.69,-583.82,-0.5985,-1.1118,33,101157.11
volatility_adjusted,derivatives,NSEI,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,22878.900391,22894.699219,22811.400391,22887.0,0.0,2.2409,2026-04-01T10:25:00+05:30,22796.5,2026-04-01T10:30:00+05:30,22792.540189,22883.476171,22610.668227,2026-04-01T13:15:00+05:30,22888.052866,STOP_LOSS,43.349749,4,101740.93,1.0,382.05,525.13,6104.46,91170.16,97549.49,305222.79,per_trade_allocation,fixed_percent_risk,-382.05,54.82,-436.87,-0.4792,-1.1435,34,100720.24
volatility_adjusted,equity,BHARTIARTL_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1815.0,1816.199951,1803.800049,1810.099976,0.0,1.4250,2026-04-01T10:25:00+05:30,1802.800049,2026-04-01T10:30:00+05:30,1802.1395,1815.363,1775.6925,2026-04-01T15:20:00+05:30,1783.756704,END_OF_DAY,3.371434,56,101740.93,1.0,760.85,907.18,6104.46,100919.81,188719.65,305222.79,per_trade_allocation,fixed_percent_risk,1029.44,60.24,969.19,0.9604,1.2738,59,101689.43
volatility_adjusted,equity,RELIANCE_NS,2026-04-01,OPEN_EQUALS_HIGH,SHORT,2026-04-01T09:15:00+05:30,1376.300049,1377.400024,1365.0,1369.900024,0.0,2.1752,2026-04-01T13:40:00+05:30,1364.900024,2026-04-01T13:45:00+05:30,1364.727,1376.575309,1341.030382,2026-04-01T15:20:00+05:30,1369.573909,END_OF_DAY,2.735718,73,100720.24,1.0,885.02,760.85,6043.21,99625.07,100919.81,302160.72,per_trade_allocation,fixed_percent_risk,-353.82,59.88,-413.71,-0.4153,-0.4675,20,101275.72
volatility_adjusted,commodities,SIF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,74.995003,75.150002,74.974998,75.110001,206.0,-0.4711,2026-04-01T09:25:00-04:00,75.220001,2026-04-01T09:30:00-04:00,75.220043,74.980004,75.700121,2026-04-01T09:40:00-04:00,74.965008,STOP_LOSS,0.318213,1346,101275.72,1.0,343.28,0.0,6076.54,101246.18,0.0,303827.16,per_trade_allocation,fixed_percent_risk,-343.28,60.64,-403.92,-0.399,-1.1767,3,100871.8
volatility_adjusted,commodities,GCF,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00-04:00,4758.100098,4768.0,4757.899902,4766.299805,719.0,1.1071,2026-04-01T09:35:00-04:00,4773.600098,2026-04-01T09:40:00-04:00,4774.054718,4757.148478,4807.867198,2026-04-01T10:00:00-04:00,4756.197048,STOP_LOSS,12.128592,21,100871.8,1.0,375.01,0.0,6052.31,100255.15,0.0,302615.4,per_trade_allocation,fixed_percent_risk,-375.01,60.04,-435.05,-0.4339,-1.1601,5,100436.75
volatility_adjusted,equity,SBIN_NS,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,1001.0,1002.0,986.25,987.0,0.0,-1.4715,2026-04-02T10:00:00+05:30,982.299988,2026-04-02T10:05:00+05:30,981.953594,1001.2002,943.460383,2026-04-02T13:35:00+05:30,1001.40044,STOP_LOSS,4.792868,16,100436.75,1.0,311.15,2912.39,6026.2,15711.26,284874.51,301310.25,gross_exposure,fixed_percent_risk,-311.15,9.52,-320.67,-2.041,-1.0306,43,100116.08
volatility_adjusted,equity,TCS_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,2381.100098,2398.0,2381.100098,2392.0,0.0,-1.2975,2026-04-02T09:20:00+05:30,2404.300049,2026-04-02T09:25:00+05:30,2404.4808,2380.623878,2452.194645,2026-04-02T13:35:00+05:30,2451.704206,TARGET,7.557094,41,100436.75,1.0,997.65,1003.61,6026.2,98583.71,86669.73,301310.25,risk_budget,fixed_percent_risk,1936.16,59.73,1876.43,1.9034,1.8808,51,101992.51
volatility_adjusted,equity,INFY_NS,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00+05:30,1260.300049,1272.0,1260.300049,1269.0,0.0,-1.3850,2026-04-02T09:20:00+05:30,1274.400024,2026-04-02T09:25:00+05:30,1274.554909,1260.047989,1303.568749,2026-04-02T15:10:00+05:30,1303.308035,TARGET,4.492833,68,100436.75,1.0,1003.61,0.0,6026.2,86669.73,0.0,301310.25,risk_budget,fixed_percent_risk,1955.21,52.59,1902.62,2.1953,1.8958,70,103895.13
volatility_adjusted,equity,RELIANCE_NS,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00+05:30,1358.0,1358.0,1349.400024,1351.199951,0.0,-0.8252,2026-04-02T09:35:00+05:30,1347.0,2026-04-02T09:40:00+05:30,1346.2307,1358.2716,1322.1489,2026-04-02T15:20:00+05:30,1349.669904,END_OF_DAY,4.171439,74,100436.75,1.0,911.13,2001.26,6026.2,99621.07,185253.44,301310.25,per_trade_allocation,fixed_percent_risk,-254.5,59.85,-314.35,-0.3155,-0.345,69,103580.78
volatility_adjusted,commodities,CLF,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00-04:00,113.389999,113.440002,112.540001,113.110001,4723.0,13.6856,2026-04-02T09:30:00-04:00,111.900002,2026-04-02T09:35:00-04:00,111.897614,113.412677,108.867488,2026-04-02T09:40:00-04:00,113.43536,STOP_LOSS,1.07857,480,103580.78,1.0,738.12,287.52,6214.85,53710.85,101724.14,310742.34,volatility_budget,fixed_percent_risk,-738.12,32.45,-770.57,-1.4347,-1.044,2,102810.21
volatility_adjusted,commodities,GCF,2026-04-02,OPEN_EQUALS_LOW,LONG,2026-04-02T09:15:00-04:00,4612.600098,4620.200195,4609.799805,4616.600098,579.0,-3.6573,2026-04-02T09:25:00-04:00,4622.700195,2026-04-02T09:30:00-04:00,4623.824482,4611.677578,4648.118292,2026-04-02T09:40:00-04:00,4610.755242,STOP_LOSS,13.621408,22,103580.78,1.0,287.52,0.0,6214.85,101724.14,0.0,310742.34,per_trade_allocation,fixed_percent_risk,-287.52,60.95,-348.47,-0.3426,-1.212,3,102461.74
volatility_adjusted,equity,ICICIBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1213.199951,1213.199951,1202.900024,1207.599976,0.0,-0.2467,2026-04-06T09:25:00+05:30,1201.599976,2026-04-06T09:30:00+05:30,1201.2597,1213.442591,1176.893918,2026-04-06T11:45:00+05:30,1213.68528,STOP_LOSS,5.042847,82,102461.74,1.0,1018.9,3026.8,6147.7,98503.3,168933.95,307385.22,risk_budget,fixed_percent_risk,-1018.9,59.41,-1078.31,-1.0947,-1.0583,28,101383.43
volatility_adjusted,equity,HDFCBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,760.0,760.0,746.200012,750.299988,0.0,1.3604,2026-04-06T09:40:00+05:30,746.049988,2026-04-06T09:45:00+05:30,745.8508,760.152,717.2484,2026-04-06T12:25:00+05:30,760.30403,STOP_LOSS,3.832145,53,102461.74,1.0,766.02,4045.7,6147.7,39530.09,267437.25,307385.22,gross_exposure,fixed_percent_risk,-766.02,23.95,-789.97,-1.9984,-1.0313,33,100593.46
